PLAYER,WIN,GAME,WIN_PROB
Pavel_Andrei,245,494,0.496
El_Aynaoui_Younes,244,464,0.5259
Canas_Guillermo,243,431,0.5638
Mathieu_PaulHenri,243,498,0.488
Baghdatis_Marcos,241,437,0.5515
Benneteau_Julien,241,489,0.4928
Edmondson_Mark,240,468,0.5128
Siemerink_Jan,240,487,0.4928
Fromberg_Richard,239,512,0.4668
Mecir_Sr_Miloslav,238,343,0.6939
Montanes_Albert,237,505,0.4693
Moor_Terry,237,463,0.5119
PerezRoldan_Guillermo,236,365,0.6466
Washington_MaliVai,236,404,0.5842
Case_Ross,235,485,0.4845
Isner_John,234,377,0.6207
Yzaga_Jaime,234,426,0.5493
Norman_Magnus,233,392,0.5944
Pilic_Nikola,231,418,0.5526
Fitzgerald_John,229,449,0.51
McNamee_Paul,228,438,0.5205
Tarango_Jeff,228,506,0.4506
Meiler_Karl,226,400,0.565
Gunthardt_Heinz,225,414,0.5435
Haarhuis_Paul,225,463,0.486
Tipsarevic_Janko,225,423,0.5319
Carlsen_Kenneth,224,484,0.4628
Rochus_Olivier,223,482,0.4627
Massu_Nicolas,222,440,0.5045
Querrey_Sam,222,398,0.5578
Black_Byron,221,438,0.5046
Mirnyi_Max,221,446,0.4955
Tursunov_Dmitry,221,426,0.5188
Lewis_NZL_Chris,220,412,0.534
Srichaphan_Paradorn,220,404,0.5446
Andreev_Igor,219,433,0.5058
Wheaton_David,219,397,0.5516
Woodbridge_Todd,219,440,0.4977
Martin_Alberto,218,483,0.4513
Emerson_Roy,216,344,0.6279
GarciaLopez_Guillermo,216,464,0.4655
Tulasne_Thierry,215,420,0.5119
Costa_Carlos,214,403,0.531
Fleming_Peter,214,414,0.5169
Gullikson_Tom,213,436,0.4885
Sadri_John,213,401,0.5312
Agenor_Ronald,210,454,0.4626
Coria_Guillermo,210,315,0.6667
Skoff_Horst,207,391,0.5294
Cash_Pat,206,335,0.6149
Davis_Scott,204,398,0.5126
Filippini_Marcelo,203,416,0.488
Arazi_Hicham,202,415,0.4867
Arrese_Jordi,202,391,0.5166
Calleri_Agustin,201,384,0.5234
El_Shafei_Ismail,201,464,0.4332
Gambill_JanMichael,201,390,0.5154
Pasarell_Charlie,201,422,0.4763
Proisy_Patrick,200,380,0.5263
Gildemeister_Hans,199,341,0.5836
Mayer_Florian,198,395,0.5013
Zabaleta_Mariano,196,402,0.4876
Koubek_Stefan,195,428,0.4556
Perez_Diego,195,407,0.4791
Bertolucci_Paolo,194,330,0.5879
Furlan_Renzo,194,411,0.472
Ancic_Mario,193,318,0.6069
Gimeno_Andres,193,290,0.6655
Gaudenzi_Andrea,192,400,0.48
Ulihrach_Bohdan,192,413,0.4649
McNamara_Peter,191,311,0.6141
Fairlie_Brian,190,385,0.4935
Gunnarsson_Jan,190,393,0.4835
Lloyd_John,189,428,0.4416
Boetsch_Arnaud,188,368,0.5109
Mitton_Bernard,188,397,0.4736
Purcell_Mel,188,350,0.5371
Graebner_Clark,186,291,0.6392
Hanescu_Victor,186,413,0.4504
Hewitt_Bob,186,343,0.5423
Steeb_CarlUwe,186,368,0.5054
De_La_Pena_Horacio,185,358,0.5168
Ginepri_Robby,185,380,0.4868
Amaya_Victor,183,351,0.5214
Llodra_Michael,183,397,0.461
Rostagno_Derrick,183,357,0.5126
Acasuso_Jose,181,357,0.507
Masters_Geoff,181,408,0.4436
Drewett_Brad,180,406,0.4433
Gulbis_Ernests,180,340,0.5294
Pate_David,179,345,0.5188
Dupre_Pat,178,372,0.4785
Nishikori_Kei,176,279,0.6308
Fognini_Fabio,174,357,0.4874
Grabb_Jim,174,363,0.4793
Mattar_Luiz,174,332,0.5241
Metreveli_Alex,174,264,0.6591
Cherkasov_Andrei,173,369,0.4688
Carbonell_Tomas,172,373,0.4611
Anderson_Kevin,170,304,0.5592
Ruffels_Ray,170,340,0.5
Goven_Georges,169,385,0.439
Jauffret_Francois,169,290,0.5828
Meligeni_Fernando,169,354,0.4774
Troicki_Viktor,169,321,0.5265
